iter	RMSE
0	354714.652
1	340839.3561
2	327029.2665
3	314817.1164
4	302746.1297
5	291413.7892
6	280599.3879
7	270295.0075
8	260431.7818
9	251090.8847
10	242262.9937
11	234192.4543
12	226141.1554
13	218797.9012
14	211727.0475
15	205056.4717
16	198477.2234
17	192549.6975
18	186877.8462
19	181560.0271
20	176524.3647
21	171816.3718
22	167494.2596
23	163120.3461
24	159371.608
25	155708.5751
26	152203.9373
27	148904.9838
28	145815.7522
29	142841.1141
30	140064.52
31	137330.5701
32	134887.8635
33	132541.4872
34	130557.5866
35	128572.312
36	126838.0134
37	125067.0357
38	123458.5398
39	121869.0046
40	120458.2468
41	119058.7645
42	117701.0311
43	116323.5096
44	115050.7278
45	113944.3772
46	112981.3091
47	111951.91
48	111085.7438
49	110212.5061
50	109399.4797
51	108696.6586
52	107928.9553
53	107098.4434
54	106559.1839
55	105808.0131
56	105242.3619
57	104749.0178
58	104031.4779
59	103421.8746
60	103016.4413
61	102390.4743
62	101911.6948
63	101573.826
64	101176.6178
65	100847.5535
66	100259.0263
67	99803.65035
68	99524.95327
69	99222.77337
70	98868.19606
71	98588.01045
72	98286.21384
73	98039.23034
74	97811.61843
75	97508.96159
76	97112.68785
77	96889.88818
78	96647.72689
79	96565.09091
80	96213.44647
81	96074.6145
82	95794.6823
83	95506.47925
84	95311.84994
85	95174.49836
86	94998.03173
87	94805.5847
88	94661.77253
89	94541.84747
90	94415.84651
91	94275.42523
92	93912.49406
93	93774.86803
94	93549.59066
95	93384.64632
96	93054.89122
97	92770.93178
98	92581.76872
99	92490.26861
100	92308.91106
101	92190.36125
102	91944.13978
103	91816.91764
104	91749.10869
105	91489.8172
106	91442.80978
107	91272.70294
108	91209.34792
109	90940.99847
110	90854.69369
111	90720.42578
112	90556.98375
113	90439.51559
114	90247.66261
115	90142.79559
116	90072.64953
117	89891.39937
118	89802.81665
119	89678.58604
120	89580.51154
121	89522.30911
122	89443.98583
123	89442.71348
124	89373.03836
125	89284.03435
126	89104.03225
127	89011.50833
128	88939.08818
129	88842.918
130	88776.49459
131	88737.97307
132	88640.8766
133	88601.4566
134	88542.43383
135	88344.61479
136	88288.54106
137	88149.15626
138	88050.7045
139	87956.53909
140	87852.62732
141	87785.88578
142	87755.14598
143	87608.44218
144	87520.5812
145	87455.31216
146	87376.64326
147	87325.20752
148	87294.11699
149	87238.10533
150	87178.65783
151	87052.18574
152	86997.08708
153	86941.33637
154	86885.90272
155	86775.83704
156	86724.96848
157	86677.52647
158	86603.96011
159	86554.26716
160	86528.74599
161	86448.46174
162	86305.84805
163	86247.68902
164	86205.94865
165	86144.29439
166	86106.40827
167	86070.49344
168	86007.61107
169	85977.98048
170	85930.49873
171	85843.91822
172	85774.36533
173	85755.08659
174	85714.83086
175	85648.69211
176	85605.74033
177	85558.41271
178	85498.48285
179	85403.5158
180	85343.44542
181	85318.89099
182	85224.48908
183	85175.3206
184	85156.35416
185	85094.27834
186	85077.13044
187	85040.97133
188	84987.87004
189	84949.76992
190	84837.86959
191	84722.80106
192	84679.08653
193	84644.27633
194	84623.96864
195	84595.29871
196	84559.49975
197	84475.26314
198	84424.6189
199	84399.93247
200	84344.06387
201	84280.35846
202	84228.08664
203	84206.4654
204	84205.74327
205	84164.84111
206	84102.46505
207	84078.2744
208	84011.35793
209	83953.20929
210	83913.91608
211	83780.44985
212	83750.0264
213	83688.11605
214	83667.61253
215	83634.23016
216	83543.60798
217	83522.32761
218	83499.06503
219	83438.16757
220	83410.80873
221	83380.26533
222	83347.6869
223	83317.06342
224	83280.13854
225	83204.03619
226	83172.82065
227	83144.54459
228	83101.46437
