iter	Passed	Remaining
0	6	6937
1	11	5914
2	16	5564
3	21	5242
4	25	5071
5	29	4960
6	34	4843
7	38	4741
8	42	4705
9	47	4657
10	51	4612
11	55	4589
12	60	4566
13	64	4543
14	68	4530
15	75	4653
16	81	4701
17	87	4749
18	91	4732
19	96	4704
20	100	4691
21	105	4672
22	109	4647
23	113	4634
24	120	4687
25	126	4720
26	131	4754
27	137	4761
28	143	4817
29	148	4800
30	153	4791
31	158	4793
32	163	4784
33	167	4769
34	172	4763
35	177	4747
36	181	4728
37	186	4712
38	190	4691
39	194	4673
40	199	4659
41	203	4643
42	207	4625
43	212	4614
44	218	4630
45	222	4619
46	227	4605
47	231	4588
48	236	4593
49	241	4580
50	245	4567
51	249	4554
52	255	4565
53	260	4555
54	266	4580
55	270	4567
56	277	4588
57	281	4573
58	287	4580
59	291	4569
60	295	4556
61	300	4541
62	304	4532
63	311	4550
64	315	4545
65	322	4556
66	326	4550
67	331	4544
68	336	4536
69	340	4524
70	344	4514
71	349	4504
72	353	4493
73	358	4484
74	362	4474
75	367	4463
76	372	4469
77	378	4479
78	383	4468
79	385	4431
80	389	4418
81	393	4409
82	398	4398
83	402	4388
84	408	4399
85	413	4390
86	417	4382
87	421	4372
88	426	4364
89	431	4357
90	435	4348
91	440	4351
92	446	4359
93	452	4364
94	458	4371
95	463	4362
96	467	4352
97	471	4342
98	476	4333
99	480	4323
100	484	4314
101	489	4305
102	493	4296
103	499	4300
104	503	4293
105	507	4284
106	513	4289
107	519	4293
108	524	4284
109	528	4274
110	532	4265
111	536	4257
112	542	4257
113	546	4251
114	553	4259
115	559	4260
116	564	4263
117	569	4255
118	573	4247
119	578	4239
120	582	4230
121	586	4222
122	591	4214
123	593	4193
124	597	4185
125	602	4178
126	606	4170
127	610	4162
128	615	4155
129	620	4149
130	624	4142
131	628	4134
132	633	4127
133	639	4131
134	645	4133
135	650	4135
136	655	4126
137	659	4119
138	665	4123
139	671	4127
140	677	4127
141	681	4120
142	688	4128
143	694	4127
144	700	4130
145	704	4122
146	709	4114
147	713	4106
148	718	4105
149	723	4097
150	727	4089
151	731	4081
152	736	4074
153	740	4067
154	745	4061
155	751	4064
156	755	4058
157	760	4054
158	766	4051
159	771	4049
160	776	4044
161	782	4047
162	787	4042
163	791	4037
164	798	4038
165	803	4034
166	807	4030
167	813	4030
168	818	4025
169	823	4019
170	828	4015
171	833	4012
172	838	4008
173	845	4012
174	850	4009
175	855	4005
176	862	4010
177	867	4006
178	872	4000
179	877	3996
180	882	3993
181	887	3989
182	894	3993
183	899	3989
184	902	3974
185	906	3969
186	912	3969
187	920	3974
188	926	3976
189	931	3972
190	936	3967
191	942	3964
192	946	3959
193	951	3953
194	956	3947
195	961	3942
196	965	3936
197	971	3935
198	977	3933
199	981	3926
